URL	Prompt	Question	Option A	Option B	Option C	Option D	Correct Answer
https://attack.mitre.org/techniques/T0847	For the given question: What can be a potential consequence of not disabling AutoRun on critical systems?, and four options: A) Increase in network traffic, B) Inability to access removable media, C) Unintentional execution of malicious software, or D) Slow system performance, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What can be a potential consequence of not disabling AutoRun on critical systems?	Increase in network traffic	Inability to access removable media	Unintentional execution of malicious software	Slow system performance	C
https://attack.mitre.org/techniques/T0847	For the given question: Why might an adversary use a trusted third party to introduce removable media into a target environment?, and four options: A) To increase attack speed, B) To bypass network firewalls, C) To leverage their access privileges, or D) To gain direct access to network devices, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Why might an adversary use a trusted third party to introduce removable media into a target environment?	To increase attack speed	To bypass network firewalls	To leverage their access privileges	To gain direct access to network devices	C
https://attack.mitre.org/techniques/T0847	For the given question: What is a key reason that physical isolation of critical systems does not guarantee security?, and four options: A) Malware cannot spread without network connectivity, B) Malware can still be introduced via physical media, C) Physical isolation ensures no unauthorized physical access, or D) Physical isolation guarantees no data leakage, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a key reason that physical isolation of critical systems does not guarantee security?	Malware cannot spread without network connectivity	Malware can still be introduced via physical media	Physical isolation ensures no unauthorized physical access	Physical isolation guarantees no data leakage	B
https://attack.mitre.org/techniques/T0847	For the given question: Which malware is known for spreading through Windows drive shares and was found in a German nuclear power plant?, and four options: A) Stuxnet, B) Conficker, C) Flame, or D) Duqu, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which malware is known for spreading through Windows drive shares and was found in a German nuclear power plant?	Stuxnet	Conficker	Flame	Duqu	B
https://attack.mitre.org/techniques/T0847	For the given question: What monitoring action can help detect unauthorized use of removable media on critical systems?, and four options: A) Monitoring network traffic spikes, B) Monitoring newly executed processes from removable media, C) Monitoring user login attempts, or D) Monitoring system uptime, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What monitoring action can help detect unauthorized use of removable media on critical systems?	Monitoring network traffic spikes	Monitoring newly executed processes from removable media	Monitoring user login attempts	Monitoring system uptime	B
https://attack.mitre.org/techniques/T0887	For the given question: What is the typical frequency range used in wireless sniffing for RF communication?, and four options: A) 3 kHz to 300 GHz, B) 300 MHz to 6 GHz, C) 2.4 GHz to 5 GHz, or D) 700 MHz to 2.4 GHz, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is the typical frequency range used in wireless sniffing for RF communication?	3 kHz to 300 GHz	300 MHz to 6 GHz	2.4 GHz to 5 GHz	700 MHz to 2.4 GHz	B
https://attack.mitre.org/techniques/T0887	For the given question: Which of the following is NOT a method adversaries might use to capture RF communications?, and four options: A) Software defined radio (SDR), B) Handheld radio, C) Computer with radio demodulator, or D) Physical wiretapping, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following is NOT a method adversaries might use to capture RF communications?	Software defined radio (SDR)	Handheld radio	Computer with radio demodulator	Physical wiretapping	D
https://attack.mitre.org/techniques/T0887	For the given question: Why is wireless sniffing particularly useful to adversaries when communications are not encrypted?, and four options: A) It allows for data to be intercepted easily, B) It prevents the data from being traced back, C) It makes it harder to detect the sniffing, or D) It enables the data to be modified easily, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Why is wireless sniffing particularly useful to adversaries when communications are not encrypted?	It allows for data to be intercepted easily	It prevents the data from being traced back	It makes it harder to detect the sniffing	It enables the data to be modified easily	A
https://attack.mitre.org/techniques/T0887	For the given question: Which mitigation technique is effective in reducing the risk of wireless sniffing by minimizing signal propagation?, and four options: A) Increasing transmission power, B) Using strong cryptographic protocols, C) Adjusting antenna gain, or D) Using wired communication exclusively, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which mitigation technique is effective in reducing the risk of wireless sniffing by minimizing signal propagation?	Increasing transmission power	Using strong cryptographic protocols	Adjusting antenna gain	Using wired communication exclusively	C
https://attack.mitre.org/techniques/T0887	For the given question: What was the suspected method used by adversaries in the 2017 Dallas Siren incident to trigger the alarms?, and four options: A) Network hack, B) Wireless command message capture and replay, C) Physical tampering, or D) Using malware, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What was the suspected method used by adversaries in the 2017 Dallas Siren incident to trigger the alarms?	Network hack	Wireless command message capture and replay	Physical tampering	Using malware	B
https://attack.mitre.org/techniques/T0887	For the given question: Which data source can be monitored to detect potential wireless sniffing activities?, and four options: A) Network Traffic Flow, B) User Account Logs, C) System Performance Metrics, or D) Application Usage Patterns, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which data source can be monitored to detect potential wireless sniffing activities?	Network Traffic Flow	User Account Logs	System Performance Metrics	Application Usage Patterns	A
https://attack.mitre.org/techniques/T0892	For the given question: Which of the following is a potential consequence of an adversary changing device credentials?, and four options: A) Increased data throughput, B) Enhanced device security, C) Locked out access for operators, or D) Improved device performance, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following is a potential consequence of an adversary changing device credentials?	Increased data throughput	Enhanced device security	Locked out access for operators	Improved device performance	C
https://attack.mitre.org/techniques/T0892	For the given question: What tactic does the technique of changing credentials primarily support?, and four options: A) Collection, B) Inhibit Response Function, C) Execution, or D) Command and Control, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What tactic does the technique of changing credentials primarily support?	Collection	Inhibit Response Function	Execution	Command and Control	B
https://attack.mitre.org/techniques/T0892	For the given question: Which asset is NOT typically targeted by the Change Credential technique?, and four options: A) Human-Machine Interface (HMI), B) Remote Terminal Unit (RTU), C) Programmable Logic Controller (PLC), or D) Printer, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which asset is NOT typically targeted by the Change Credential technique?	Human-Machine Interface (HMI)	Remote Terminal Unit (RTU)	Programmable Logic Controller (PLC)	Printer	D
https://attack.mitre.org/techniques/T0892	For the given question: What makes recovery difficult after credentials have been changed by an adversary?, and four options: A) Device self-repair features, B) Hardcoded credentials can still be used, C) Requires device to be sent back to vendor, or D) Automatic reset to factory settings, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What makes recovery difficult after credentials have been changed by an adversary?	Device self-repair features	Hardcoded credentials can still be used	Requires device to be sent back to vendor	Automatic reset to factory settings	C
https://attack.mitre.org/techniques/T0892	For the given question: Which additional technique, when combined with Change Credential, can exacerbate the impact on an ICS device?, and four options: A) Modify Controller Tasking, B) Network Traffic Capture, C) Data Exfiltration, or D) Command Injection, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which additional technique, when combined with Change Credential, can exacerbate the impact on an ICS device?	Modify Controller Tasking	Network Traffic Capture	Data Exfiltration	Command Injection	A
https://attack.mitre.org/techniques/T0892	For the given question: What is a recommended mitigation for preventing unauthorized credential changes?, and four options: A) Use of complex passwords, B) Regular software updates, C) Encryption of all data, or D) Redundancy of services, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a recommended mitigation for preventing unauthorized credential changes?	Use of complex passwords	Regular software updates	Encryption of all data	Redundancy of services	D
https://attack.mitre.org/techniques/T0823	For the given question: Which protocol can be used to access a GUI on a Windows operating system?, and four options: A) VNC, B) SSH, C) RDP, or D) Telnet, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which protocol can be used to access a GUI on a Windows operating system?	VNC	SSH	RDP	Telnet	C
https://attack.mitre.org/techniques/T0823	For the given question: What input devices are primarily used for interacting with a GUI?, and four options: A) Mouse and keyboard, B) Touchscreen only, C) Voice commands, or D) Stylus and tablet, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What input devices are primarily used for interacting with a GUI?	Mouse and keyboard	Touchscreen only	Voice commands	Stylus and tablet	A
https://attack.mitre.org/techniques/T0823	For the given question: What is the main advantage of using a GUI over a CLI?, and four options: A) Lower resource usage, B) Faster processing speed, C) Visual interaction, or D) More security, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is the main advantage of using a GUI over a CLI?	Lower resource usage	Faster processing speed	Visual interaction	More security	C
https://attack.mitre.org/techniques/T0823	For the given question: Which technique ID is associated with Graphical User Interface in the MITRE ATT&CK framework?, and four options: A) T0823, B) T0811, C) T0825, or D) T0827, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which technique ID is associated with Graphical User Interface in the MITRE ATT&CK framework?	T0823	T0811	T0825	T0827	A
https://attack.mitre.org/techniques/T0823	For the given question: During the 2015 Ukraine Electric Power Attack, what did the adversaries manipulate using the GUI?, and four options: A) Opened breakers, B) Modified data logs, C) Disabled alarms, or D) Restarted servers, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	During the 2015 Ukraine Electric Power Attack, what did the adversaries manipulate using the GUI?	Opened breakers	Modified data logs	Disabled alarms	Restarted servers	A
https://attack.mitre.org/techniques/T0823	For the given question: Which mitigation is noted as limited or not effective once an adversary gains access to a remote GUI?, and four options: A) Disabling unused services, B) Strong password policies, C) Network segmentation, or D) M0816, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which mitigation is noted as limited or not effective once an adversary gains access to a remote GUI?	Disabling unused services	Strong password policies	Network segmentation	M0816	D
https://attack.mitre.org/techniques/T0846	For the given question: What is the primary purpose of Remote System Discovery in the context of ICS?, and four options: A) To find vulnerabilities in remote systems, B) To identify remote systems for lateral movement, C) To perform data exfiltration, or D) To disrupt communication between systems, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is the primary purpose of Remote System Discovery in the context of ICS?	To find vulnerabilities in remote systems	To identify remote systems for lateral movement	To perform data exfiltration	To disrupt communication between systems	B
https://attack.mitre.org/techniques/T0846	For the given question: Which technique is used by adversaries to discover operational assets during an attack, as seen in the 2015 Ukraine Electric Power Attack?, and four options: A) Phishing, B) SQL Injection, C) Remote System Discovery, or D) Denial of Service, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which technique is used by adversaries to discover operational assets during an attack, as seen in the 2015 Ukraine Electric Power Attack?	Phishing	SQL Injection	Remote System Discovery	Denial of Service	C
https://attack.mitre.org/techniques/T0846	For the given question: What protocol does INCONTROLLER use to identify Schneider PLCs on the network?, and four options: A) TCP port 102, B) TCP port 4840, C) UDP port 27127, or D) UDP port 1502, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What protocol does INCONTROLLER use to identify Schneider PLCs on the network?	TCP port 102	TCP port 4840	UDP port 27127	UDP port 1502	C
https://attack.mitre.org/techniques/T0846	For the given question: Which method is used by Industroyer to enumerate all OPC servers on a network?, and four options: A) ICatInformation::EnumClassesOfCategories, B) Ping sweep, C) Port scanning, or D) ICMP echo request, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which method is used by Industroyer to enumerate all OPC servers on a network?	ICatInformation::EnumClassesOfCategories	Ping sweep	Port scanning	ICMP echo request	A
https://attack.mitre.org/techniques/T0846	For the given question: In the context of the T0846 technique, which ICS malware uses Windows networking (WNet) to discover reachable servers?, and four options: A) INCONTROLLER, B) Industroyer, C) Triton, or D) Backdoor.Oldrea, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	In the context of the T0846 technique, which ICS malware uses Windows networking (WNet) to discover reachable servers?	INCONTROLLER	Industroyer	Triton	Backdoor.Oldrea	D
https://attack.mitre.org/techniques/T0846	For the given question: What specific network scanning activity does Triton perform to detect Triconex controllers?, and four options: A) ICMP ping sweep, B) TCP SYN scan, C) UDP broadcast packet over port 1502, or D) ARP scan, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What specific network scanning activity does Triton perform to detect Triconex controllers?	ICMP ping sweep	TCP SYN scan	UDP broadcast packet over port 1502	ARP scan	C
https://attack.mitre.org/techniques/T0846	For the given question: Which ICS malware specifically targets Siemens S7 PLC devices by scanning for services on TCP port 102?, and four options: A) INCONTROLLER, B) Backdoor.Oldrea, C) PLC-Blaster, or D) Triton, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which ICS malware specifically targets Siemens S7 PLC devices by scanning for services on TCP port 102?	INCONTROLLER	Backdoor.Oldrea	PLC-Blaster	Triton	C
https://attack.mitre.org/techniques/T0821	For the given question: What is one method adversaries use to modify controller tasking?, and four options: A) Change user credentials, B) Program Download, C) Install a new controller, or D) Disconnect the controller, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is one method adversaries use to modify controller tasking?	Change user credentials	Program Download	Install a new controller	Disconnect the controller	B
https://attack.mitre.org/techniques/T0821	For the given question: What does modifying controller tasking enable an adversary to manipulate?, and four options: A) Network traffic, B) Controller execution flow, C) User access levels, or D) Device physical location, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What does modifying controller tasking enable an adversary to manipulate?	Network traffic	Controller execution flow	User access levels	Device physical location	B
https://attack.mitre.org/techniques/T0821	For the given question: Which property can be modified to affect the frequency of task execution?, and four options: A) Task ID, B) Task priority, C) Task frequency, or D) Task name, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which property can be modified to affect the frequency of task execution?	Task ID	Task priority	Task frequency	Task name	C
https://attack.mitre.org/techniques/T0821	For the given question: Which method is NOT mentioned as a way to modify controller tasking?, and four options: A) Program append, B) Online edit, C) Direct memory access, or D) Program download, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which method is NOT mentioned as a way to modify controller tasking?	Program append	Online edit	Direct memory access	Program download	C
https://attack.mitre.org/techniques/T0821	For the given question: What is a potential consequence of adversaries modifying task properties like priority?, and four options: A) Slower execution, B) Normal operation, C) Misleading logs, or D) Program execution disruption, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a potential consequence of adversaries modifying task properties like priority?	Slower execution	Normal operation	Misleading logs	Program execution disruption	D
